sent-length,reg-deriv-size,mwe-deriv-size,chart-nodes-1,chart-arcs-1,agenda-nodes-1,agenda-arcs-1,encodes-reg-1,encodes-mwe-1,chart-nodes-2,chart-arcs-2,agenda-nodes-2,agenda-arcs-2,encodes-reg-2,encodes-mwe-2
10,10,8,375,459,155,184,0,1,654,823,0,0,1,1
16,16,15,1964,3736,479,710,1,1,2795,5547,0,0,1,1
7,7,6,272,343,132,162,1,1,423,538,0,0,1,1
10,10,8,432,594,157,173,1,1,690,994,0,0,1,1
7,6,4,76,73,25,25,0,1,117,116,0,0,1,1
8,8,7,160,174,37,40,0,0,312,365,0,0,1,1
8,7,6,149,165,42,42,1,1,205,222,0,0,1,1
10,8,7,504,641,148,165,1,1,732,957,0,0,1,1
10,10,9,347,439,71,72,1,1,481,613,0,0,1,1
6,6,5,100,111,33,33,1,1,151,166,0,0,1,1
10,10,9,707,1124,223,246,1,1,1077,1686,0,0,1,1
17,17,16,2578,6622,210,279,1,1,3004,7343,0,0,1,1
15,14,13,1025,1432,242,277,1,1,1411,2024,0,0,1,1
16,16,13,861,1336,348,385,1,1,1463,2287,0,0,1,1
9,9,8,491,679,163,182,1,1,761,1025,0,0,1,1
13,13,11,327,376,80,88,1,1,484,561,0,0,1,1
13,13,10,1215,1869,497,824,0,1,2307,4281,0,0,1,1
11,11,10,326,385,137,152,1,1,524,649,0,0,1,1
6,6,5,97,101,40,44,0,1,185,225,0,0,1,1
14,14,10,567,878,246,342,0,1,1115,1810,0,0,1,1
8,8,7,75,75,19,19,0,1,106,111,0,0,1,1
6,6,5,74,74,17,17,1,1,101,102,0,0,1,1
17,16,15,520,627,111,118,1,1,695,843,0,0,1,1
18,18,16,1741,3395,445,590,1,1,2631,4984,0,0,1,1
21,18,17,1478,2614,265,352,1,1,1927,3274,0,0,1,1
11,11,10,170,181,39,39,1,1,230,242,0,0,1,1
10,9,8,153,150,55,55,1,1,248,252,0,0,1,1
8,6,5,280,389,55,59,1,1,364,494,0,0,1,1
12,12,11,337,376,74,75,1,1,498,576,0,0,1,1
12,12,8,513,728,230,302,1,1,948,1463,0,0,1,1
21,21,19,2913,7470,803,1069,1,1,4673,11041,0,0,1,1
16,15,14,1101,1974,207,241,1,1,1507,2510,0,0,1,1
11,10,9,230,252,84,84,1,1,391,440,0,0,1,1
5,5,4,79,80,30,34,0,1,141,152,0,0,1,1
6,6,5,147,170,34,37,1,1,186,217,0,0,1,1
11,10,9,493,587,217,228,0,1,799,976,0,0,1,1
19,18,17,1594,2947,294,482,1,1,2401,4426,0,0,1,1
18,18,16,1693,2837,493,603,1,1,2507,4234,0,0,1,1
12,11,10,576,802,162,193,1,1,875,1243,0,0,1,1
6,6,5,112,116,63,65,1,1,261,325,0,0,1,1
19,19,15,1270,2299,291,325,0,1,1945,3376,0,0,1,1
24,24,23,3927,11108,699,1115,1,1,6031,16049,0,0,1,1
12,12,9,287,329,104,108,1,1,569,696,0,0,1,1
16,15,13,3154,7539,548,979,1,1,4062,10019,0,0,1,1
9,9,7,630,1007,265,378,1,1,1142,2047,0,0,1,1
22,20,19,4106,9530,779,1540,1,1,5239,12287,0,0,1,1
9,8,7,207,237,58,60,1,1,290,335,0,0,1,1
13,13,12,516,752,152,167,1,1,807,1163,0,0,1,1
7,7,6,205,259,62,78,1,1,287,361,0,0,1,1
9,9,8,302,377,60,63,1,1,395,480,0,0,1,1
10,10,9,622,900,204,320,0,1,1006,1576,0,0,1,1
27,27,25,7462,17067,803,1255,1,1,8739,20054,0,0,1,1
12,12,11,1533,2784,380,646,0,0,2030,3808,0,0,1,1
9,9,8,147,158,38,38,1,1,210,223,0,0,1,1
6,6,5,145,162,52,56,0,1,259,311,0,0,1,1
23,22,21,1406,2033,245,308,1,1,1897,2730,0,0,1,1
15,14,12,409,527,118,136,1,1,650,848,0,0,1,1
16,16,15,1565,2918,441,493,1,1,2632,5036,0,0,1,1
6,6,5,99,103,22,24,0,1,138,152,0,0,1,1
7,7,6,458,628,160,190,1,1,660,927,0,0,1,1
20,19,18,2401,4848,343,546,1,1,2976,6017,0,0,1,1
15,15,14,1181,1865,417,530,1,1,2212,3947,0,0,1,1
11,10,9,1277,2132,401,685,1,1,1910,3598,0,0,1,1
19,19,16,754,959,270,329,1,1,1320,1765,0,0,1,1
21,20,19,3310,7146,1128,2011,1,1,5809,13335,0,0,1,1
11,10,9,175,186,75,75,1,1,332,374,0,0,1,1
13,12,11,660,951,172,183,1,1,977,1416,0,0,1,1
20,20,19,1897,3425,324,376,1,1,3052,5724,0,0,1,1
12,12,11,326,404,106,111,1,1,528,644,0,0,1,1
14,14,13,440,544,127,132,0,0,695,856,0,0,1,1
13,12,11,862,1506,216,253,1,1,1336,2288,0,0,1,1
17,17,13,1676,3592,403,429,1,1,2464,5032,0,0,1,1
20,20,17,882,1149,208,223,0,1,1272,1680,0,0,1,1
19,19,18,1845,3655,408,613,1,1,2812,5681,0,0,1,1
11,11,9,471,798,150,205,1,1,753,1224,0,0,1,1
26,22,13,6294,14041,1956,4947,1,1,10044,27758,0,0,1,1
15,15,9,951,1528,428,789,0,1,1942,3682,0,0,1,1
9,9,8,510,794,121,130,1,1,745,1166,0,0,1,1
5,5,4,69,70,20,20,0,1,139,153,0,0,1,1
10,10,8,587,978,241,344,1,1,1098,1949,0,0,1,1
24,23,22,5901,14489,1285,2237,1,1,7939,20292,0,0,1,1
31,30,27,6147,14616,1089,1593,1,1,8701,21460,0,0,1,1
8,8,7,235,291,125,141,0,1,502,681,0,0,1,1
17,17,16,1060,1559,143,157,1,1,1315,1910,0,0,1,1
27,26,25,10770,29596,1472,3714,1,1,13396,37445,0,0,1,1
23,23,21,5015,12700,1679,3210,1,1,8336,21896,0,0,1,1
18,18,17,1496,2909,285,330,1,1,2091,3818,0,0,1,1
13,10,8,411,668,165,245,0,1,785,1270,0,0,1,1
10,10,9,499,619,231,268,1,1,795,1013,0,0,1,1
7,7,6,193,235,61,62,1,1,311,396,0,0,1,1
32,29,18,4282,9565,1313,2937,0,1,7605,19436,0,0,1,1
10,10,8,665,1065,269,335,1,1,1187,1990,0,0,1,1
10,9,8,248,281,48,48,1,1,347,390,0,0,1,1
