file-name,sent-length,reg-deriv-size,mwe-deriv-size,chart-nodes-1,chart-arcs-1,agenda-nodes-1,agenda-arcs-1,encodes-reg-1,encodes-mwe-1,chart-nodes-2,chart-arcs-2,agenda-nodes-2,agenda-arcs-2,encodes-reg-2,encodes-mwe-2
NKJP_1M_012750-Rzeczpospolita/morph_141-p/morph_141.30-s.xml,30,30,28,10066,31319,944,3429,1,1,11179,37164,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_169-p/morph_169.78-s.xml,7,7,6,188,228,21,24,0,1,232,318,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_171-p/morph_171.36-s.xml,13,13,12,538,748,37,51,0,1,621,875,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_171-p/morph_171.49-s.xml,13,12,10,135,125,22,22,0,1,471,574,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_193-p/morph_193.57-s.xml,13,11,10,992,1504,273,453,1,1,1926,3830,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_20-p/morph_20.75-s.xml,11,11,10,312,416,14,16,0,1,376,555,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_215-p/morph_215.10-s.xml,10,10,9,291,330,50,64,0,1,389,489,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_218-p/morph_218.51-s.xml,13,12,9,654,963,97,108,0,1,1003,2007,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_23-p/morph_23.47-s.xml,10,9,8,348,468,2,2,1,1,398,563,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_230-p/morph_230.21-s.xml,13,13,12,479,716,34,95,0,0,609,1129,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_41-p/morph_41.68-s.xml,13,13,12,387,490,16,16,0,1,412,528,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_49-p/morph_49.14-s.xml,14,14,13,931,1569,46,56,0,0,1267,2206,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_81-p/morph_81.12-s.xml,12,12,11,680,1006,33,55,1,1,719,1098,0,0,1,1
NKJP_1M_012750-Rzeczpospolita/morph_81-p/morph_81.26-s.xml,14,14,13,551,793,21,21,0,1,584,883,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_104-p/morph_104.11-s.xml,11,11,10,646,1003,27,27,0,1,681,1125,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_104-p/morph_104.70-s.xml,26,23,13,1810,3506,238,505,0,1,4170,12639,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_105-p/morph_105.27-s.xml,27,26,20,2843,4790,363,655,1,1,3907,7423,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_105-p/morph_105.61-s.xml,14,13,11,230,237,5,5,0,1,267,286,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_131-p/morph_131.66-s.xml,6,6,5,184,228,26,28,1,1,219,277,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_136-p/morph_136.29-s.xml,7,7,5,132,127,27,28,0,1,200,220,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_141-p/morph_141.48-s.xml,7,7,6,253,287,29,37,1,1,294,353,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_147-p/morph_147.27-s.xml,14,13,10,836,1381,123,194,0,1,1244,2702,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_153-p/morph_153.20-s.xml,20,19,17,2339,4957,99,222,1,1,2461,5368,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_155-p/morph_155.26-s.xml,26,25,23,2215,4139,9,12,1,1,2228,4156,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_157-p/morph_157.34-s.xml,10,10,9,391,516,40,56,0,1,447,612,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_157-p/morph_157.47-s.xml,13,13,11,277,285,11,11,0,1,326,367,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_165-p/morph_165.7-s.xml,7,7,5,114,118,12,13,0,1,137,147,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_166-p/morph_166.24-s.xml,22,21,14,1177,1771,92,93,0,1,4309,13637,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_166-p/morph_166.36-s.xml,12,12,11,705,1160,36,36,1,1,873,1713,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_182-p/morph_182.18-s.xml,18,18,16,1346,2347,89,91,0,1,1706,3180,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_210-p/morph_210.18-s.xml,18,18,17,3596,9009,367,549,1,1,4008,10220,0,0,1,1
NKJP_1M_012750-TrybunaPLUSTrybunaLudu/morph_224-p/morph_224.10-s.xml,10,10,9,272,354,2,2,1,1,278,362,0,0,1,1
